"number","project","owner","reviewer","date","rscore","vscore"
"101005","platform/frameworks/opt/telephony","Narayan Kamath","Elliott Hughes","2014-07-14 16:29:51.177000000",2,0
"101005","platform/frameworks/opt/telephony","Narayan Kamath","Narayan Kamath","2014-07-16 12:57:47.272000000",0,1
"101140","platform/packages/apps/Settings","Narayan Kamath","Elliott Hughes","2014-07-14 16:15:21.143000000",2,0
"101140","platform/packages/apps/Settings","Narayan Kamath","Narayan Kamath","2014-07-16 12:54:07.375000000",0,1
"101140","platform/packages/apps/Settings","Narayan Kamath","Narayan Kamath","2014-07-16 12:54:57.792000000",2,1
"101970","platform/frameworks/opt/telephony","Narayan Kamath","Narayan Kamath","2014-07-18 15:58:29.373000000",0,1
"101970","platform/frameworks/opt/telephony","Narayan Kamath","Elliott Hughes","2014-07-18 16:18:04.186000000",2,0
"101970","platform/frameworks/opt/telephony","Narayan Kamath","Robert Greenwalt","2014-07-18 17:11:53.339000000",2,0
"106830","platform/system/vold","Adam Langley","Adam Langley","2014-09-05 22:55:03.794000000",0,0
"106830","platform/system/vold","Adam Langley","Deckard Autoverifier","2014-09-08 03:53:11.664000000",0,1
"106830","platform/system/vold","Adam Langley","Adam Langley","2014-09-18 22:31:36.542000000",0,0
"106830","platform/system/vold","Adam Langley","Paul Lawrence","2014-09-18 22:41:58.721000000",2,0
"107515","platform/system/vold","Dan Albert","Elliott Hughes","2014-09-12 17:52:06.970000000",2,0
"107515","platform/system/vold","Dan Albert","Dan Albert","2014-09-12 18:07:48.606000000",0,1
"109323","platform/system/vold","Stephen Smalley","Deckard Autoverifier","2014-10-08 07:25:20.671000000",0,1
"109323","platform/system/vold","Stephen Smalley","Nick Kralevich","2014-10-18 23:02:28.547000000",2,0
"109776","platform/frameworks/av","Bernhard Rosenkränzer","Deckard Autoverifier","2014-10-20 00:19:12.079000000",0,1
"109776","platform/frameworks/av","Bernhard Rosenkränzer","Chih-hung Hsieh","2014-11-24 22:00:32.732000000",2,0
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-10-08 15:19:26.396000000",1,1
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-10-08 17:04:44.315000000",0,0
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-10-08 19:20:37.485000000",1,1
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-10-08 19:30:29.493000000",0,0
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-10-08 19:32:12.043000000",1,1
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-10-16 18:34:44.203000000",0,0
"110204","platform/system/core","Mark Salyzyn","Deckard Autoverifier","2014-10-17 03:44:51.541000000",0,1
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-11-12 17:10:12.596000000",0,0
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-11-12 17:13:11.219000000",1,1
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-12-08 22:28:55.288000000",0,0
