"number","project","owner","reviewer","date","message"
"101005","platform/frameworks/opt/telephony","Narayan Kamath","Elliott Hughes","2014-07-14 16:29:51.177000000","Patch Set 1: Code-Review+2"
"101005","platform/frameworks/opt/telephony","Narayan Kamath","Narayan Kamath","2014-07-16 12:57:47.272000000","Patch Set 1: Verified+1"
"101140","platform/packages/apps/Settings","Narayan Kamath","Elliott Hughes","2014-07-14 16:15:21.143000000","Patch Set 1: Code-Review+2"
"101140","platform/packages/apps/Settings","Narayan Kamath","Narayan Kamath","2014-07-16 12:54:07.375000000","Patch Set 1: Verified+1"
"101140","platform/packages/apps/Settings","Narayan Kamath","Narayan Kamath","2014-07-16 12:54:57.792000000","Patch Set 2: Code-Review+2 Verified+1

PS2 adds a bug ID."
"101970","platform/frameworks/opt/telephony","Narayan Kamath","Narayan Kamath","2014-07-18 15:58:29.373000000","Patch Set 1: Verified+1"
"101970","platform/frameworks/opt/telephony","Narayan Kamath","Elliott Hughes","2014-07-18 16:18:04.186000000","Patch Set 1: Code-Review+2"
"101970","platform/frameworks/opt/telephony","Narayan Kamath","Robert Greenwalt","2014-07-18 17:11:53.339000000","Patch Set 1: Code-Review+2"
"106830","platform/system/vold","Adam Langley","Adam Langley","2014-09-05 22:55:03.794000000","Uploaded patch set 2: Commit message was updated."
"106830","platform/system/vold","Adam Langley","Deckard Autoverifier","2014-09-08 03:53:11.664000000","Patch Set 2: Verified+1

This is an automated message from the Deckard Autoverifier.

Patchset merges and builds in AOSP.
Patchset merges and builds in Google's internal Android source tree.

Assigning reviewer(s): ksumrall@android.com

Everything merges and builds.  Congratulations!"
"106830","platform/system/vold","Adam Langley","Adam Langley","2014-09-18 22:31:36.542000000","Patch Set 2:

Ping? I think this is pretty minimal."
"106830","platform/system/vold","Adam Langley","Paul Lawrence","2014-09-18 22:41:58.721000000","Patch Set 2: Code-Review+2"
"107515","platform/system/vold","Dan Albert","Elliott Hughes","2014-09-12 17:52:06.970000000","Patch Set 1: Code-Review+2"
"107515","platform/system/vold","Dan Albert","Dan Albert","2014-09-12 18:07:48.606000000","Patch Set 1: Verified+1"
"109323","platform/system/vold","Stephen Smalley","Deckard Autoverifier","2014-10-08 07:25:20.671000000","Patch Set 1: Verified+1

This is an automated message from the Deckard Autoverifier.

Patchset merges and builds in AOSP.
Patchset merges and builds in Google's internal Android source tree.

Assigning reviewer(s): ksumrall@android.com

Everything merges and builds.  Congratulations!"
"109323","platform/system/vold","Stephen Smalley","Nick Kralevich","2014-10-18 23:02:28.547000000","Patch Set 1: Code-Review+2"
"109776","platform/frameworks/av","Bernhard Rosenkränzer","Deckard Autoverifier","2014-10-20 00:19:12.079000000","Patch Set 1: Verified+1

This is an automated message from the Deckard Autoverifier.

Patchset merges and builds in AOSP.
Patchset merges and builds in Google's internal Android source tree.

Assigning reviewer(s): gkasten@android.com

Everything merges and builds.  Congratulations!"
"109776","platform/frameworks/av","Bernhard Rosenkränzer","Chih-hung Hsieh","2014-11-24 22:00:32.732000000","Patch Set 1: Code-Review+2"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-10-08 15:19:26.396000000","Patch Set 1: Code-Review+1 Verified+1"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-10-08 17:04:44.315000000","Uploaded patch set 2: Patch Set 1 was rebased."
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-10-08 19:20:37.485000000","Patch Set 2: Code-Review+1 Verified+1"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-10-08 19:30:29.493000000","Uploaded patch set 3: Patch Set 2 was rebased."
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-10-08 19:32:12.043000000","Patch Set 3: Code-Review+1 Verified+1

rebase"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-10-16 18:34:44.203000000","Uploaded patch set 4: Patch Set 3 was rebased."
"110204","platform/system/core","Mark Salyzyn","Deckard Autoverifier","2014-10-17 03:44:51.541000000","Patch Set 4: Verified+1

This is an automated message from the Deckard Autoverifier.

Patchset merges and builds in AOSP.
Patchset merges and builds in Google's internal Android source tree.

Assigning reviewer(s): ccross@android.com

Everything merges and builds.  Congratulations!"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-11-12 17:10:12.596000000","Uploaded patch set 5: Patch Set 4 was rebased."
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-11-12 17:13:11.219000000","Patch Set 5: Code-Review+1 Verified+1"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-12-08 22:28:55.288000000","Uploaded patch set 6: Patch Set 5 was rebased."
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-12-16 22:33:28.182000000","Uploaded patch set 7: Patch Set 6 was rebased."
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2014-12-16 22:36:13.618000000","Patch Set 7: Code-Review+1 Verified+1"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-02-06 18:28:25.165000000","Patch Set 7:

(1 comment)"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-02-09 23:42:58.877000000","Uploaded patch set 8: Patch Set 7 was rebased."
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-02-09 23:56:49.425000000","Patch Set 9: Code-Review+1 Verified+1

Deferring the concept of propagating LogdBufferElement::log status until after the klogd adjustment where this problem becomes more serious. Also, this is an _experimental_ idea of enforcing __android_log_is_loggable on _all_ applications; inert for now, but the policy could change to consider DEBUG the default rather than VERBOSE. Thus pending approval of this concept."
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-02-26 17:32:49.268000000","Patch Set 9:

(1 comment)"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-03-04 20:56:56.955000000","Patch Set 9: -Code-Review

(3 comments)

Update blocked by https://android-review.googlesource.com/#/c/138006"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-03-04 21:53:02.249000000","Patch Set 10: Code-Review+1 Verified+1"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-03-12 21:43:19.597000000","Uploaded patch set 11: Patch Set 10 was rebased."
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-03-12 21:52:37.638000000","Patch Set 11:

(2 comments)

Consider this a prototype for an idea, review for correctness and architectural for now."
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-04-22 19:59:03.414000000","Patch Set 12: Code-Review+1 Verified+1

Removed bitrot, this is now considered less of a prototype because of the (single layer) cache in the related CL ``liblog: __android_log_is_loggable support global properties``"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-04-24 15:48:30.998000000","Patch Set 13: Code-Review+1 Verified+1

Added `internal' sources of log messages (auditd and logd expire messages) as filterable with __android_log_is_loggable. Doing so because smithd logspam was actually selinux violations, and some folks feel logd expire messages are logspam."
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-05-07 18:02:56.096000000","Patch Set 14: Code-Review+1 Verified+1"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-05-12 23:01:52.538000000","Patch Set 15: Code-Review+1 Verified+1

_this_ is the blacklist mechanism, that will allow us to suppress specific tags from logging. The _next_ patch is a companion and is required to make sure that there is minimal impact (72ns on repeating tags, 400ns on new ones) of less than 1/2 a syscall. All the cycles taken will be at BATCH priority so should defer the impact from the caller(s)."
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-06-09 18:09:44.678000000","Patch Set 16:

(1 comment)"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-06-09 18:13:41.374000000","Patch Set 17: Code-Review+1 Verified+1"
"110204","platform/system/core","Mark Salyzyn","Todd Kjos","2015-06-09 21:46:16.521000000","Patch Set 17:

(1 comment)"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-06-09 22:40:03.338000000","Patch Set 17:

(1 comment)"
"110204","platform/system/core","Mark Salyzyn","Todd Kjos","2015-06-09 22:51:18.454000000","Patch Set 17: Code-Review+1"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-06-12 17:36:33.589000000","Uploaded patch set 18: Patch Set 17 was rebased."
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-06-12 17:43:29.129000000","Patch Set 18: Code-Review+1 Verified+1"
"110204","platform/system/core","Mark Salyzyn","Todd Kjos","2015-06-12 22:53:50.323000000","Patch Set 18: Code-Review+1"
"110204","platform/system/core","Mark Salyzyn","Mark Salyzyn","2015-06-15 14:38:00.269000000","Patch Set 18: Code-Review+2"
"111553","platform/system/vold","Dan Albert","Elliott Hughes","2014-10-21 18:31:15.392000000","Patch Set 1: Code-Review+2"
"111553","platform/system/vold","Dan Albert","Dan Albert","2014-10-21 23:09:05.414000000","Patch Set 1: Verified+1"
"113423","platform/frameworks/av","Martin Storsjö","Nagaraju Siddineni","2014-11-07 08:06:18.979000000","Patch Set 1:

Looks there is no change in your code"
"113423","platform/frameworks/av","Martin Storsjö","Martin Storsjö","2014-11-07 08:07:46.988000000","Patch Set 1:

It doesn't change the content of files, it changes the mode from ``old mode 100755`` to
``new mode 100644``. Source files aren't supposed to have the executable bit set."
"113423","platform/frameworks/av","Martin Storsjö","Glenn Kasten","2014-11-10 19:55:04.033000000","Patch Set 1: Verified+1 Code-Review+2"
"113520","platform/frameworks/av","Ian Rogers","Andreas Gampe","2014-11-06 21:47:00.417000000","Patch Set 1: Code-Review+2"
"113520","platform/frameworks/av","Ian Rogers","Ian Rogers","2014-11-06 21:54:03.104000000","Patch Set 1: Verified+1"
"113520","platform/frameworks/av","Ian Rogers","Ying Wang","2014-11-06 21:55:45.568000000","Patch Set 1:

LGTM. But TARGET_CPU_SMP is always set. see build/core/config.mk:519"
"113520","platform/frameworks/av","Ian Rogers","Ian Rogers","2014-11-06 21:58:46.607000000","Patch Set 1:

> LGTM. But TARGET_CPU_SMP is always set. see build/core/config.mk:519

Thanks Ying, agreed. My hope in the long term is that cutils/atomic.. can go away and be replaced by std::atomic. So defining ANDROID_SMP won't be necessary. We can go and check TARGET_CPU_SMP uses after that too."
"113601","platform/frameworks/av","junkyu lee","junkyu lee","2014-12-02 04:22:09.901000000","Patch Set 1:

May i get any feedback?"
"113601","platform/frameworks/av","junkyu lee","Glenn Kasten","2014-12-02 18:04:12.077000000","Patch Set 1:

Sorry for my delay in replying.  I missed the first email.

Do you have a test case that demonstrates the problem?"
"113601","platform/frameworks/av","junkyu lee","junkyu lee","2014-12-03 01:23:53.350000000","Patch Set 1:

test case is simple.
play music > Pause > observe the condition of the control block. (don't resume)
Unfortunately, the reproducibility is very poor.
This deadlock issue is rarely reproduced in automated stability test.


So, I temporarily added short sleeping time around line 214 to increase reproducibility.
(line 214: int32_t old = android_atomic_and(~CBLK_FUTEX_WAKE, &cblk->mFutex); )

1. While the thread is activated between line 115 (after checking CBLK_INTERRUPT) and line 220 (before syscall) of AudioTrackShared.cpp

2. the thread has been interrupted by pause()

3. then a deadlock has occurred."
"113601","platform/frameworks/av","junkyu lee","Deckard Autoverifier","2014-12-04 18:36:45.770000000","Patch Set 1: Verified+1

This is an automated message from the Deckard Autoverifier.

Patchset merges and builds in AOSP.
Patchset merges and builds in Google's internal Android source tree.

Assigning reviewer(s): gkasten@android.com

Everything merges and builds.  Congratulations!"
"113601","platform/frameworks/av","junkyu lee","Glenn Kasten","2014-12-05 02:03:45.535000000","Patch Set 1:

>So, I temporarily added short sleeping time around line 214 to increase reproducibility. (line 214: int32_t old = android_atomic_and(~CBLK_FUTEX_WAKE, &cblk->mFutex); )

I would like to try what you are saying,
but I need a little more information.

To make the bug happen more often,
do you add a sleep before or after this line?

And then is there anything else you have to do,
in order to make the bug happen (besides call pause) ?"
"113601","platform/frameworks/av","junkyu lee","junkyu lee","2014-12-05 04:23:34.464000000","Patch Set 1:

> do you add a sleep before or after this line?
Both before and after line 214.
I have jest tested on Nexus5 L after insert usleep(500*1000) between line 215 and 216.
ANR didn't occur on Nexus5, but the control block is at a deadlock.
Paly/Pause/Prev/Next does not work because ~AudioTrack() was not completed.

> And then is there anything else you have to do,
  in order to make the bug happen (besides call pause) ?
There is no complex pre-condition but all kind of pause.
play music > pause > observe the condition of the control block.
Please, don't press resume button right after pause() is executed."
"113601","platform/frameworks/av","junkyu lee","Glenn Kasten","2014-12-05 20:33:57.191000000","Patch Set 1:

Thank you for your explanation, now it makes sense.

Andy and I also discussed it further, and we agree with your fix and also want to apply it to another case for binderDied.

Next I need to confirm that I can get the failure by testing, and then that the problem goes away after the fix. This will take me a day or two."
"113601","platform/frameworks/av","junkyu lee","Glenn Kasten","2014-12-08 23:37:07.148000000","Patch Set 1: Verified+1

Confirmed by testing to have fail -> passed

I will upload details momentarily, and add the +2."
"113601","platform/frameworks/av","junkyu lee","Andy Hung","2014-12-08 23:52:57.724000000","Patch Set 2: Code-Review+1"
"113601","platform/frameworks/av","junkyu lee","Glenn Kasten","2014-12-09 00:02:31.041000000","Patch Set 2: Verified+1 Code-Review+2

Test case details are at the bug"
"113601","platform/frameworks/av","junkyu lee","junkyu lee","2014-12-22 10:32:00.208000000","Patch Set 2:

Sorry, I forgot to thank you.
Thanks again for your kindly review."
"113712","platform/frameworks/av","Eino-Ville Talvala","Stephen Hines","2014-11-08 01:15:06.487000000","Patch Set 1: Code-Review+2

(1 comment)"
"113712","platform/frameworks/av","Eino-Ville Talvala","Eino-Ville Talvala","2014-11-08 01:17:55.342000000","Patch Set 1:

(1 comment)"
"113712","platform/frameworks/av","Eino-Ville Talvala","Dan Albert","2014-11-08 01:24:47.676000000","Patch Set 1: Code-Review+2"
"113712","platform/frameworks/av","Eino-Ville Talvala","Eino-Ville Talvala","2014-11-10 23:58:24.699000000","Patch Set 1: Verified+1

Tested on mantaray, occam, flo - camera's not totally stable on any of them - mantaray has a frequent random breakdown (also seen very infrequently on lmp-dev, somehow more frequent on AOSP), and flo/occam both die if you try to take a picture (b/18317554). 

Dumpsys on all devices seems fine.

Mone of the above look like Binder issues, so I'm going to merge this, if only to unblock sorting out the rest of the issues."
"113951","platform/frameworks/av","Dan Albert","Elliott Hughes","2014-11-10 22:51:22.313000000","Patch Set 1: Code-Review+2"
"113951","platform/frameworks/av","Dan Albert","Stephen Hines","2014-11-10 22:51:31.174000000","Patch Set 1: Code-Review+2"
"113951","platform/frameworks/av","Dan Albert","Dan Albert","2014-11-11 22:30:06.204000000","Patch Set 2: Verified+1"
"113951","platform/frameworks/av","Dan Albert","Stephen Hines","2014-11-11 22:34:32.513000000","Patch Set 2: Code-Review+2"
"114044","platform/frameworks/av","John Eckerdal","Glenn Kasten","2014-11-25 14:41:17.606000000","Patch Set 1: Code-Review+1"
"114044","platform/frameworks/av","John Eckerdal","Marco Nelissen","2014-11-25 15:48:25.685000000","Patch Set 1: Code-Review+2"
"114044","platform/frameworks/av","John Eckerdal","Glenn Kasten","2014-12-01 17:51:06.375000000","Patch Set 1: Verified+1

builds OK"
"114171","platform/frameworks/av","Mark Salyzyn","Mark Salyzyn","2014-11-11 23:32:29.436000000","Patch Set 1: Code-Review+1 Verified+1"
"114171","platform/frameworks/av","Mark Salyzyn","Elliott Hughes","2014-11-12 01:49:58.501000000","Patch Set 1: Code-Review+2"
"114231","platform/frameworks/av","Yong Yao","Deckard Autoverifier","2014-12-04 16:22:05.192000000","Patch Set 1: Verified+1

This is an automated message from the Deckard Autoverifier.

Patchset merges and builds in AOSP.
Patchset merges and builds in Google's internal Android source tree.

Assigning reviewer(s): gkasten@android.com

Everything merges and builds.  Congratulations!"
"114231","platform/frameworks/av","Yong Yao","Lajos Molnar","2014-12-04 17:23:37.679000000","Patch Set 1: Code-Review+2"
"114231","platform/frameworks/av","Yong Yao","Lajos Molnar","2014-12-04 17:28:33.942000000","Patch Set 2: Code-Review+2"
